,Title,Published_date,Views,Likes,Favorite,Month
1182,Stationarity and Statistical Independence of Ransom Process by Ms. G Mary Swarna Latha,2021-11-28,58,2,0,Nov
1183,Engineering Materials –II & III  by Dr. Ch Sandeep,2021-11-28,20,0,0,Nov
1184,Development of Microstructure in Iron Carbon Alloys by Dr. Ch Sandeep,2021-11-28,84,4,0,Nov
1185,Problems on Strings by Dr. B Padmaja,2021-11-28,50,2,0,Nov
1186,Friction - Discussion on Tutorial Question Bank by Dr. B D Y Sunil,2021-11-28,19,0,0,Nov
1187,Orientation Program  of Class of 2021 on 27 November 2021 (Saturday),2021-11-27,2529,59,0,Nov
1188,Orientation Program  of Class of 2021 on 27 November 2021 (Saturday),2021-11-27,2388,61,0,Nov
1189,Resistance and Capacitance Parallel Plate Capacitor by Ms. M Sreevani,2021-11-26,49,2,0,Nov
1190,Inverter Delay by Ms. K S Indrani,2021-11-26,50,2,0,Nov
1191,Conductor Dielectric Boundary Conditions by Ms. M Sreevani,2021-11-26,14,0,0,Nov
1192,Real Mode and Protected Mode by Ms.B Lakshmi Prasanna,2021-11-26,43,1,0,Nov
1193,Paging by Ms. B Lakshmi Prasanna,2021-11-26,15,0,0,Nov
1194,"Amplitude Modulation, Single tone Modulation by Ms. G Ajitha",2021-11-25,105,4,0,Nov
1195,Edge Linking Using Hough Transform by Ms. M Saritha,2021-11-25,22,0,0,Nov
1196,Internal Block Description of FPGA by Prof. V R Seshagiri Rao,2021-11-25,46,0,0,Nov
1197,Creativity by Dr. Sudeepthi Dondapati,2021-11-25,21,1,0,Nov
1198,Force on Electromagnetic Field Definition and Terminology by Dr. Sayanti Chatterjee,2021-11-25,14,0,0,Nov
1199,The Gibbs Phase Rule by Dr. Ch Sandeep,2021-11-25,19,2,0,Nov
1200,Introduction to Engineering Mechanics   Discussion on Tutorial Question Bank by Dr. B D Y Sunil,2021-11-25,33,0,0,Nov
1201,Problems on Functions and Types of Arguments in Functions by Dr. B Padmaja,2021-11-25,24,2,0,Nov
1202,Boundary Conditions in Electric Fields by Ms. M Sreevani,2021-11-24,17,0,0,Nov
1203,"Convection and Conduction Currents, Continuity Equations by Ms. M Sreevani",2021-11-24,22,1,0,Nov
1204,Region Oriented Image Segmentation Ms. M Saritha,2021-11-24,42,0,0,Nov
1205,IEEE - IARE Inauguration,2021-11-24,760,28,0,Nov
1206,Problems on Transistor Collector to Base Biasing by Mr. B Naresh,2021-11-24,38,1,0,Nov
1207,Smart Antennas and Reflectors by Dr. V Kishen Ajay Kumar,2021-11-24,29,0,0,Nov
1208,Sentence Completion Part-3 by Dr. Sudeepthi Dondapati,2021-11-24,9,2,0,Nov
1209,K Map with Don’t Care Entries by Dr. B Ravikumar,2021-11-24,20,1,0,Nov
1210,80386 Microprocessor by Ms. B Lakshmi Prasanna,2021-11-24,22,0,0,Nov
1211,English Verbal - Prepositions by Dr. Sudeepthi Dondapati,2021-11-24,25,2,0,Nov
1212,"Design Approach – PROM, PLA and PAL by Prof. V R Seshagiri Rao",2021-11-24,41,1,0,Nov
1213,Relation Between E and V Energy Density in Electric Fields by Ms. M Sreevani,2021-11-23,30,2,0,Nov
1214,"""SAMBHAV"" e-National Level Awareness Programme, 2021",2021-11-23,179,3,0,Nov
1215,Introduction to Communication and Need for Modulation by Ms. G Ajitha,2021-11-23,132,5,0,Nov
1216,"Distortion in Amplifiers, RC Coupled Amplifier by Ms. L Babitha",2021-11-23,37,1,0,Nov
1217,Dynamic Stability Discussion on Tutorial Question Bank by Dr. Y D Dwivedhi,2021-11-23,94,3,0,Nov
1218,Minimization of Boolean Functions by Dr.  B Ravikumar,2021-11-23,9,0,0,Nov
1219,Types of Errors in Measurement by Dr. M Laxmidevi,2021-11-23,28,0,0,Nov
1220,Binary Eutectic Systems by Dr. Ch Sandeep,2021-11-23,15,1,0,Nov
1221,Force on Electromagnetic Field by Dr. Sayanti Chatterjee,2021-11-23,15,2,0,Nov
1222,Renewable and Non Renewable Sources of Energy by Dr. Shikha Pandey,2021-11-23,45,3,0,Nov
1223,Problems on Functions by Dr. B Padmaja,2021-11-23,33,1,0,Nov
1224,Applied Physics - Course Description on Outcome Based Education by Ms. Sujani Singavarapu,2021-11-22,64,2,0,Nov
1225,Energy Resources and Their Growing Energy Needs by Dr. Shikha Pandey,2021-11-22,142,4,0,Nov
1226,"Multi Stage Amplifiers, Classification and Coupling by Ms. L Babitha",2021-11-22,59,1,0,Nov
1227,Stress Strain Diagram for Mild Steel and Other Materials by Mr. A Somaiah,2021-11-22,18,0,0,Nov
1228,Random Process   Classification by Ms. G Mary Swarna Latha,2021-11-22,65,1,0,Nov
1229,Image Thresholding  by Ms. M Saritha,2021-11-22,30,2,0,Nov
1230,80286 Microprocessor by Ms. B Lakshmi Prasanna,2021-11-22,78,2,0,Nov
1231,Gauss’s Law for Volume Charge and Electric Potential by Ms. M Sreevani,2021-11-22,12,0,0,Nov
1232,Faraday’s Law and Time Varying Field by Dr. Sayanti Chatterjee,2021-11-20,46,2,0,Nov
1233,Problem Solving Session on Electromagnetic Field by Dr. Sayanti Chatterjee,2021-11-20,17,0,0,Nov
1234,Fit a Binomial Distribution by Ms. P Naga Lakshmi Devi,2021-11-20,25,1,0,Nov
1235,Binomial Distribution by Ms. P Naga Lakshmi Devi,2021-11-20,15,0,0,Nov
1236,Lean Digital Thinking Digitalizing Businesses in a New World Order by Mr. V Srinivasa Rao,2021-11-20,365,22,0,Nov
1237,H - Parameter Model Analysis of Transistor Amplifier by Mr. D Khalandar Basha,2021-11-20,20,0,0,Nov
1238,Electric Flux Density and Gauss’s Law Ms. M Sreevani,2021-11-20,21,2,0,Nov
1239,Basic Circuit Concepts by Ms. K S Indrani,2021-11-18,94,6,0,Nov
1240,Chebychev’s Inequality  by Ms. G Mary Swarna Latha,2021-11-18,32,1,0,Nov
1241,Analysis of CE Amplimer With Emitter Resistance Using Low Frequency Model by Mr. B Naresh,2021-11-18,30,2,0,Nov
1242,Continuous Random Variables by Ms. P Naga Lakshmi Devi,2021-11-18,26,1,0,Nov
1243,Engineered Electric & Magnetic Materials Definitions and Terminology by Ms. S Sujani,2021-11-18,8,0,0,Nov
1244,Off Grid Solar Power System by Dr. V Chandra Jagan Mohan,2021-11-18,29,1,0,Nov
1245,Mineral Resources and Land Resources - Use and Exploitation by Dr. Shikha Pandey,2021-11-18,90,2,0,Nov
1246,Sentence Completion Part - 2 by Dr. Sudeepthi Dondapati,2021-11-18,14,2,0,Nov
1247,Problems on Dictionary by Dr. B Padmaja,2021-11-18,14,0,0,Nov
1248,MOSFET High Frequency Equivalent Circuit by Ms. L Babitha,2021-11-17,93,0,0,Nov
1249,Approximate Analysis of Transistor Amplifier Using Low Frequency Model by Mr. B Naresh,2021-11-17,50,2,0,Nov
1250,Time Varying Fields And Finite Element Method Definitions and Terminology by Dr. Sayanti Chatterjee,2021-11-17,34,1,0,Nov
1251,Semiconductor Devices Definitions and Terminology by Ms. S Sujani,2021-11-17,29,1,0,Nov
1252,Apollos Crocks by Dr. V Chandra Jagan Mohan,2021-11-17,17,1,0,Nov
1253,Sentence Completion by Dr. Sudeepthi Dondapati,2021-11-17,17,1,0,Nov
1254,Problems on Sets and Frozen Sets by Dr. B Padmaja,2021-11-17,13,0,0,Nov
1255,Assembly Language Programs for Sorting of Numbers Using 8086 Microprocessor by Ms.B Lakshmi Prasanna,2021-11-17,132,5,0,Nov
1256,Problems on Diode Resistances by Ms. L Babitha,2021-11-17,13,0,0,Nov
1257,Discrete Random Variables by Ms. P Nagalakshmi Devi,2021-11-16,25,0,0,Nov
1258,"Numerical Problems on Mean, Variance and Skew for the given Random Variable by Ms. G Mary SwarnaLath",2021-11-16,38,2,0,Nov
1259,Engineering Physics Course Description on Outcome Based Education by Ms. S Sujani,2021-11-16,97,2,0,Nov
1260,Exact Analysis of Transistor Amplifier Using Low Frequency Model by Mr. B Naresh,2021-11-16,43,1,0,Nov
1261,Static and Dynamic Characteristics  by Dr. B Surekha Reddy,2021-11-16,50,2,0,Nov
1262,Reference Using Derivation by Dr. S Sreekanth,2021-11-16,38,5,0,Nov
1263,Harmonic Oscillations and Waves in One Dimension Discussion on Tutorial Question Bank by Ms. Sujani,2021-11-16,127,6,0,Nov
1264,Problems on Interfacing 8251 USART With 8086 Microprocessor by Ms. B Lakshmi Prasanna,2021-11-16,209,5,0,Nov
1265,Addressing the Students on the Occasion of National Education Day by Padma Shri  Dr. BVR Mohan Reddy,2021-11-16,70,1,0,Nov
1266,Addressing the Students on the Occasion of National Education Day by Marri Rajasekhar Reddy,2021-11-16,108,2,0,Nov
1267,Detection of Discontinuities by Ms. M Saritha,2021-11-16,9,0,0,Nov
1268,Perturbed EOM and Derivatives Discussion on Tutorial Question Bank by Dr. Y D Dwivedhi,2021-11-16,52,2,0,Nov
1269,Continuous Random Variables by Ms. P Naga Lakshmi Devi,2021-11-16,18,1,0,Nov
1270,Problems on Rectifiers by Ms. L Babitha,2021-11-15,43,2,0,Nov
1271,Principal Conjunctive Normal Forms and Principal Disjunctive Normal Forms by Dr. S Sreekanth,2021-11-15,35,1,0,Nov
1272,Block Schematic of Electronic Instrument and Performance Characteristics by Dr. B Surekha Reddy,2021-11-15,48,2,0,Nov
1273,Problems on Distribution and Density Function of Random Variable by Ms. G Mary Swarna Latha,2021-11-15,34,1,0,Nov
1274,"Converse, Inverse and Contrapositive by Dr. S Sreekanth",2021-11-15,26,1,0,Nov
1275,"Water Resources - Use and over utilization of surface and ground water, floods by Dr. Shikha Pandey",2021-11-15,430,10,0,Nov
1276,Self and Mutual Inductance by Dr. Sayanti Chatterjee,2021-11-15,13,0,0,Nov
1277,Physics of Sun by Dr. V Chandra Jagan Mohan,2021-11-15,16,1,0,Nov
1278,Register Organization of 8086 by Ms. J Sravana,2021-11-15,11,2,0,Nov
1279,ILKS of Hydropower by Dr. V Chandra Jagan Mohan,2021-11-15,9,1,0,Nov
1280,Probability by Ms.  B Naga Lakshmi Devi,2021-11-15,40,1,0,Nov
1281,"S F and B M Diagrams for Overhanging Beams Subjected to Point Loads, Uniformly by Dr. U Vamsi Mohan",2021-11-15,17,0,0,Nov
1282,Multilevel NAND  NOR by Dr. B Ravikumar,2021-11-15,9,0,0,Nov
1283,FDP on Applications of Machine Learning and Soft Computing to Electrical Engineering Day-6,2021-11-13,78,2,0,Nov
1284,Image Sharpening by Ms. M Saritha,2021-11-13,33,1,0,Nov
1285,TTL to RS232C and RS232C to TTL Conversion by Ms. B Lakshmi Prasanna,2021-11-13,45,1,0,Nov
1286,Introduction to Analysis of AC Circuits by Mr. T Mahesh,2021-11-13,52,3,0,Nov
1287,Introduction to the Probability by Mr. Y Manohar Reddy,2021-11-13,18,2,0,Nov
1288,English Verbal - 3 by Dr. Sudeepthi Dondapati,2021-11-13,10,1,0,Nov
1289,Truth Tables by Using Those Logical Connectives by Dr. S Sreekanth,2021-11-13,33,3,0,Nov
1290,Lattice and Types by Mr. Y Manohar Reddy,2021-11-13,17,1,0,Nov
1291,Problems on Tuple by Dr. B Padmaja,2021-11-13,27,2,0,Nov
1292,FDP on Applications of Machine Learning and Soft Computing to Electrical Engineering Day-5,2021-11-12,99,5,0,Nov
1293,8251 USART Architecture by Ms. B Lakshmi Prasanna,2021-11-12,42,1,0,Nov
1294,Equations of Motion Discussion on Tutorial Question Bank by Dr. Y D Dwivedhi,2021-11-12,48,2,0,Nov
1295,Light and Optics Discussion on Tutorial Question Bank by Ms. S Sujani,2021-11-12,162,5,0,Nov
1296,Introduction to Choppers by Mr. S Srikanth,2021-11-12,41,1,0,Nov
1297,Bias Compensation by Mr. B Naresh,2021-11-12,35,0,0,Nov
1298,"Statements and Notations, Connectives by Dr. S Sreekanth",2021-11-12,135,3,0,Nov
1299,Collector to Base Bias or Collector – Feedback Bias by Mr. D Khalandar Basha,2021-11-12,9,0,0,Nov
1300,Problems on Transistor Biasing and Stabilization by Mr. D Khalandar Basha,2021-11-12,15,0,0,Nov
1301,Introduction to Electronic Measurement and Instrumentation by Dr. B Surekha Reddy,2021-11-12,156,2,0,Nov
1302,Rings and Types by Mr. Y Manohar Reddy,2021-11-12,14,1,0,Nov
1303,Fields and Types by Mr. Y Manohar Reddy,2021-11-12,8,1,0,Nov
1304,Cosets by Mr. Y Manohar Reddy,2021-11-12,14,1,0,Nov
1305,Groups and Types by Mr. Y Manohar Reddy,2021-11-12,15,1,0,Nov
1306,English Verbal 2 by Dr. Sudeepthi Dondapati,2021-11-12,12,1,0,Nov
1307,Problems on Transistor Fixed Bias by Mr. B Naresh,2021-11-12,24,0,0,Nov
1308,Indicators of Solar Radiation by Dr. V Chandra Jagan Mohan,2021-11-12,12,1,0,Nov
1309,Solar Basics by Dr. V Chandra Jagan Mohan,2021-11-12,25,2,0,Nov
1310,Enhancement in Frequency Domain by Ms. M Saritha,2021-11-12,13,1,0,Nov
1311,"Pulse Modulation, PAM,PWM Generation and Demodulation by Dr. V Siva Nagaraju",2021-11-12,18,0,0,Nov
1312,FDP on Applications of Machine Learning and Soft Computing to Electrical Engineering Day-4,2021-11-11,74,4,0,Nov
1313,Problems on Full Wave Rectifier by Ms. S Swathi,2021-11-11,22,1,0,Nov
1314,Laser and Fiber Optics Discussion on Tutorial Question Bank by Ms. S Sujani,2021-11-11,113,2,0,Nov
1315,Pin Configuration of 8251 USART by Ms. B Lakshmi Prasanna,2021-11-11,18,0,0,Nov
1316,Harmonic Oscillations & Waves in One Dimension Definitions and Terminology by Ms. S Sujani,2021-11-11,14,0,0,Nov
1317,Diode Applications Switch Switching Times by Ms. S Swathi,2021-11-11,85,3,0,Nov
1318,"Numerical Problems on Probability, Total Probability, Posterior Probability by Ms. Mary Swarnalatha",2021-11-11,29,1,0,Nov
1319,"CS, CG and CD Amplifiers Analysis by Ms. L Babitha",2021-11-11,43,1,0,Nov
1320,"Standard and Central Moment, Variance and Skew by Ms. G Mary Swarna Latha",2021-11-11,24,1,0,Nov
1321,Tutorial Question Bank - Introduction to Solids and Semiconductors by Ms. Sujani Singavarapu,2021-11-11,121,4,0,Nov
1322,Self Bias by Mr. B Naresh,2021-11-11,19,0,0,Nov
1323,Problems on Questions on List - I by Dr. B Padmaja,2021-11-11,26,5,0,Nov
1324,FDP on Applications of Machine Learning and Soft Computing to Electrical Engineering Day-3,2021-11-10,70,4,0,Nov
1325,Architecture of 8086 by Ms. J Sravana,2021-11-10,49,0,0,Nov
1326,Linear Smoothing Filters by Ms. M Saritha,2021-11-10,20,0,0,Nov
1327,Introduction to Engineering Geology by Ms. P Sri Poojitha,2021-11-10,55,1,0,Nov
1328,Dark Side  Environmental Impacts of Solar Power by Dr. V Chandra Jagan Mohan,2021-11-10,41,1,0,Nov
1329,Problems on Half Wave Rectifier by Ms. S Swathi,2021-11-10,15,1,0,Nov
1330,Discussion on Tutorial Question Bank   Introduction to Quantum Physics by Ms  Sujani Singavarapu,2021-11-10,203,6,0,Nov
1331,Expected Value of a Random Variable by Ms. G Mary Swarna Latha,2021-11-10,38,2,0,Nov
1332,Collector to Base Bias by Mr. B Naresh,2021-11-10,17,0,0,Nov
1333,Electric Field Intensity Duo to Surface Charge and Volume Charge by Ms. M Sreevani,2021-11-10,17,1,0,Nov
1334,Fixed Bias by Mr. B Naresh,2021-11-10,24,0,0,Nov
1335,Edibles of  Thermal Plants by Dr. V Chandra Jagan Mohan,2021-11-10,8,1,0,Nov
1336,Transistor Hybrid Parameter Model by Mr. B Naresh,2021-11-10,25,1,0,Nov
1337,Genus of Dams by Dr. V Chandra Jagan Mohan,2021-11-10,16,1,0,Nov
1338,"Serial Data Transfer Schemes, Asynchronous and Synchronous Data Transfer by Ms. B Lakshmi Prasanna",2021-11-10,84,2,0,Nov
1339,Assembly Language Programs for String Manipulations - 8086 Microprocessor by Ms. B Lakshmi Prasanna,2021-11-10,24,0,0,Nov
1340,Problems on Questions on List by Dr. B Padmaja,2021-11-10,21,4,0,Nov
1341,Problems on Bipolar Junction Transistor by Mr. D Khalander Basha,2021-11-10,20,1,0,Nov
1342,Discussion on Question Bank - Lateral and Directional Static Stability by Dr. Yagya Dutta Dwivedhi,2021-11-10,27,0,0,Nov
1343,Algebraic Properties by Mr. Y Manohar Reddy,2021-11-10,16,1,0,Nov
1344,Problems on Control Flow Statements by Dr. B Padmaja,2021-11-10,47,5,0,Nov
1345,Interfacing 8257  8237 With 8086 Microprocessor by Ms. B Lakshmi Prasanna,2021-11-10,53,1,0,Nov
1346,FDP on Applications of Machine Learning and Soft Computing to Electrical Engineering Day-2,2021-11-09,79,2,0,Nov
1347,FDP on Applications of Machine Learning and Soft Computing to Electrical Engineering,2021-11-08,123,2,0,Nov
1348,Digital Logic Gates by Dr. B Ravikumar,2021-11-08,28,2,0,Nov
1349,Switching Functions Canonical and Standard Form by Dr. B Ravikumar,2021-11-08,8,0,0,Nov
1350,Static Modeling Using Class Diagram by Dr. Y Mohana Roopa,2021-11-08,29,1,0,Nov
1351,Problems on Dynamic Resistance of Diode by Ms. S Swathi,2021-11-08,17,0,0,Nov
1352,"Conditional Distribution, Conditional Density and Their Properties by Ms. G Mary Swarna Latha",2021-11-08,35,1,0,Nov
1353,MOSFET Small Signal Model by Ms. L Babitha,2021-11-08,15,0,0,Nov
1354,Conceptual Model of UML by Dr. Y Mohana Roopa,2021-11-08,61,1,0,Nov
1355,Conductors and Dielectrics Discussion on Tutorial Question Bank by Dr. Sayanti Chatterjee,2021-11-08,38,2,0,Nov
1356,BCD Adders by Dr. Vijay Vallabhuni,2021-11-08,36,1,0,Nov
1357,Electric Field Intensity and Continuous Charge Distributions by Ms. M Sreevani,2021-11-06,67,3,0,Nov
1358,Enhancement Through Point Processing by Ms. M Saritha,2021-11-06,69,5,0,Nov
1359,Introduction to Electromagnetic Waves and Transmission Lines – Coulomb’s Law by Ms. M Sreevani,2021-11-06,50,3,0,Nov
1360,Smoothing Spatial Filters by Ms. M Saritha,2021-11-06,30,0,0,Nov
1361,Assembly Language Programs for Code Conversions using 8086 Microprocessor by Ms. B Lakshmi Prasanna,2021-11-06,52,2,0,Nov
1362,Assembly Language Programs for Multibyte Addition and Subtraction by Ms. B Lakshmi Prasanna,2021-11-06,22,0,0,Nov
1363,Outcome Based Education - OBE by Dr. B Padmaja,2021-11-06,142,5,0,Nov
1364,"MOSFET Gain, Input and Output Impedances by Ms. L Babitha",2021-11-05,74,3,0,Nov
1365,Histogram Equalization by Ms. M Saritha,2021-11-05,29,1,0,Nov
1366,Introduction to Web Technologies by Ms. B Madhavi Devi,2021-11-05,98,7,0,Nov
1367,"Operating Point, DC and AC Load Line Analysis by Mr. B Naresh",2021-11-05,77,1,0,Nov
1368,Outcome Based Education - OBE by Mr. Y Manohar Reddy,2021-11-05,53,1,0,Nov
1369,Fermat's Theorem by Mr. Y. Manohar Reddy,2021-11-05,16,1,0,Nov
1370,Histogram Processing by Ms. M Saritha,2021-11-05,10,0,0,Nov
1371,Journal Book and Journal Entries by Ms. I Shireesha,2021-11-05,30,1,0,Nov
1372,"Introduction, Stresses and Strains by Mr. A Somaiah",2021-11-05,26,1,0,Nov
1373,Boiler by Dr. V Chandra Jagan Mohan,2021-11-05,11,1,0,Nov
1374,Block Diagram of 8257 DMA Controller by Ms. B Lakshmi Prasanna,2021-11-05,20,0,0,Nov
1375,Gas Turbine by Dr. V Chandra Jagan Mohan,2021-11-05,20,1,0,Nov
1376,Analogy and Contrast of Coal and Nuclear Powers by Dr. V Chandra Jagan Mohan,2021-11-05,10,1,0,Nov
1377,Introduction to Magnetostatics by Dr. Sayanti Chatterjee,2021-11-05,21,0,0,Nov
1378,"Versatile Powers, Pumped Storage Dam Vs Cascade Dam &  Turbines by Dr. V Chandra Jagan Mohan",2021-11-05,16,2,0,Nov
1379,Pin Configuration of 8257 8237 DMA Controller by Ms. B Lakshmi Prasanna,2021-11-05,23,0,0,Nov
1380,Applications of Gauss’s Law and Maxwell’s First Law by Dr. Sayanti Chatterjee,2021-11-05,23,1,0,Nov
1381,Placements at IARE | Placements - 2020-21 Batch | 1321+,2021-11-04,304,9,0,Nov
1382,Need for DMA and DMA Data Transfer Method by Ms. B Lakshmi Prasanna,2021-11-03,74,1,0,Nov
1383,Architecture of 8259 PIC by Ms. B Lakshmi Prasanna,2021-11-03,25,1,0,Nov
1384,"Cascading of Interrupt Controller and its Importance, Interfacing 8259 PIC by Ms. B Lakshmi Prasanna",2021-11-03,39,0,0,Nov
1385,Rectifiers with Capacitive Filter by Ms. S Swathi,2021-11-03,26,3,0,Nov
1386,Definitions and Terminology - Light and Optics by Ms. Sujani Singavarapu,2021-11-03,44,4,0,Nov
1387,Discussion on Tutorial Question Bank - Longitudinal Static Stability by Dr. Yagya Dutta Dwivedhi,2021-11-03,37,0,0,Nov
1388,Point Processing Techniques by Ms. M Saritha,2021-11-03,23,0,0,Nov
1389,MOSFET by Ms. L Babitha,2021-11-03,44,2,0,Nov
1390,Definitions and Terminologies - Impulse Momentum and Mechanical Vibrations by Dr. BDY Sunil,2021-11-03,12,0,0,Nov
1391,"Gaussian, Exponential, Rayleigh Random Variables by Ms. G Mary Swarna Latha",2021-11-03,116,1,0,Nov
1392,Discussion on Tutorial Question Bank - Testing of Hypothesis - I by Dr. J Suresh Goud,2021-11-03,23,1,0,Nov
1393,Discussion on Tutorial Question Bank - Probability Distributions by Dr. J Suresh Goud,2021-11-03,17,0,0,Nov
1394,Discussion on Tutorial Question Bank - Correlation and Regression by Dr. J Suresh Goud,2021-11-03,18,0,0,Nov
1395,Discussion on Tutorial Question Bank - Test of Hypothesis - II by Dr. J Suresh Goud,2021-11-03,18,0,0,Nov
1396,Discussion on Tutorial Question Bank - Random Variables by Dr. J Suresh Goud,2021-11-03,18,0,0,Nov
1397,Course Description - OBE by Dr. J Suresh Goud,2021-11-03,25,0,0,Nov
1398,Definitions and Terminology - Introduction to Solids & Semi Conductors by Ms. S Sujani,2021-11-02,36,2,0,Nov
1399,Definitions and Terminology - Laser by Ms. S Sujani,2021-11-02,11,1,0,Nov
1400,Problems on the Perturbed Derivative by Dr. Yagya Dutta Dwivedhi,2021-11-02,20,0,0,Nov
1401,Introduction and Basics of HTML by Mr. A Krishna Chaitanya,2021-11-02,28,1,0,Nov
1402,Different Current – Voltage Characteristics of a MOSFET Threshold Voltage by Prof. VR Seshagiri Rao,2021-11-02,23,1,0,Nov
1403,Small Signal Equivalent Circuits of Amplifiers by Ms. L Babitha,2021-11-02,36,1,0,Nov
1404,Exponential Distribution - II by Mr. Ch Chaitanya,2021-11-02,5,0,0,Nov
1405,Definitions and Terminologies - Particle Dynamics and Work Energy Principle by Dr. BDY Sunil,2021-11-02,8,0,0,Nov
1406,GCD on Linear Equations by Mr. Y Manohar Reddy,2021-11-01,44,3,0,Nov
1407,Parity Check Code and Hamming Code by Dr. B Ravi Kumar,2021-11-01,16,0,0,Nov
1408,Binary Codes by Dr. B Ravi Kumar,2021-11-01,13,0,0,Nov
1409,Chinese Remainder Theorem by Mr. Y Manohar Reddy,2021-11-01,34,3,0,Nov
1410,Boolean Algebra by Dr. B Ravi Kumar,2021-11-01,16,3,0,Nov
1411,Fundamental Theorem of Arithmetic by Mr. Y Manohar Reddy,2021-11-01,17,1,0,Nov
1412,Introduction to OOAD and UML by Dr. Y Mohana Roopa,2021-10-30,89,1,0,Oct
1413,English Verbal for Placements by Dr. Sudeepthi Dondapati,2021-10-30,23,1,0,Oct
1414,Reading Comprehension Concept for Placement by Dr. Sudeepthi Dondapati,2021-10-30,24,1,0,Oct
1415,Number System by Mr. B RaviKumar,2021-10-30,19,0,0,Oct
1416,Complements of Numbers by Dr. B Ravikumar,2021-10-30,9,0,0,Oct
1417,Single – Entry and Double – Entry System in Accounting by Ms. I Shireesha,2021-10-30,36,1,0,Oct
1418,Pin Configuration of 8259 PIC by Ms. B Lakshmi Prasanna,2021-10-30,24,0,0,Oct
1419,Euclidean Algorithm by Y. Manohar Reddy,2021-10-30,39,1,0,Oct
1420,Accounting Concepts and Accounting Conventions by Ms. I Shireesha,2021-10-30,27,1,0,Oct
1421,Greatest Common Division by Y. Manohar Reddy,2021-10-30,60,3,0,Oct
1422,"Analysis of CE,CB,CC Configurations by Ms. L Babitha",2021-10-29,41,2,0,Oct
1423,Definitions and Terminology - Introduction to Quantum Physics by Ms. Sujani Singavarapu,2021-10-29,34,1,0,Oct
1424,Problems on Waves in one Dimension by Ms. Sujani Singavarapu,2021-10-29,44,0,0,Oct
1425,Problems on Dynamic Stability by Dr. Yagya Dutta Dwivedhi,2021-10-29,23,1,0,Oct
1426,Modeling and Performance of Medium Transmission Lines by Mr. P Mabu Hussain,2021-10-29,27,1,0,Oct
1427,Classification of Transmission Lines by Mr. P Mabu Hussain,2021-10-29,18,0,0,Oct
1428,Know About Your Resume by Dr. Sudeepthi Dondapati,2021-10-29,20,1,0,Oct
1429,KL Transform by Ms. M Saritha,2021-10-29,38,1,0,Oct
1430,Pure Pitching and Dynamic Stability by Dr. Yagya Dutta Dwivedhi,2021-10-29,13,0,0,Oct
1431,Numerical to find Elevator Deflection by Dr. YD Dwivedhi,2021-10-28,54,1,0,Oct
1432,Natural Resources Classification of Resources Living and nonliving Resources by Dr  Shikha Pandey,2021-10-28,68,5,0,Oct
1433,Candidate Elimination Algorithm Example by Dr. Chukka Santhaiah,2021-10-28,19,0,0,Oct
1434,Common Collector Configuration with Characteristics by Mr. B Naresh,2021-10-28,38,1,0,Oct
1435,Problem Solving Session II on Electrostatics by Dr. Sayanti Chatterjee,2021-10-28,26,0,0,Oct
1436,Language Topics for Placements by Dr. Sudeepthi Dondapati,2021-10-28,43,5,0,Oct
1437,Presentation Skills by Dr. Sudeepthi Dondapati,2021-10-28,23,3,0,Oct
1438,Conversation Skills by Dr. Sudeepthi Dondapati,2021-10-28,12,2,0,Oct
1439,Problems on Harmonic Oscillators by Ms. Sujani Singavarapu,2021-10-27,86,6,0,Oct
1440,Vector Interrupt Table and Interrupt Service Routines by Ms. B Lakshmi Prasanna,2021-10-27,46,0,0,Oct
1441,Introduction to DOS and BIOS Interrupts by Ms. B Lakshmi Prasanna,2021-10-27,401,8,0,Oct
1442,Problem Discussion on Electrostatics I by Dr. Sayanti Chatterjee,2021-10-27,39,0,0,Oct
1443,Reflection and Transmission of Waves at Boundary and Harmonic Waves by Ms. Sujani Singavarapu,2021-10-27,63,1,0,Oct
1444,DCT Transform by Ms. M Saritha,2021-10-27,28,3,0,Oct
1445,Development of Microstructure in Isomorphous Alloys by Dr. Ch Sandeep,2021-10-27,24,1,0,Oct
1446,Candidate Elimination Algorithm by Dr. Chukka Santhaiah,2021-10-27,29,1,0,Oct
1447,Common Emitter Configuration with Characteristics by Mr. B Naresh,2021-10-27,40,1,0,Oct
1448,Common Base Configuration with Characteristics by Mr. B Naresh,2021-10-27,61,2,0,Oct
1449,S F and B M Diagrams for a Cantilever Beam Subjected to Uniformly Varying Loads and Combination of L,2021-10-26,27,2,0,Oct
1450,S F and B M Diagrams for Simply Supported Beams Subjected to Uniformly Varying  by Dr. U Vamsi Mohan,2021-10-26,41,2,0,Oct
1451,Wave Equations for Transverse and Longitudinal Waves by Ms. Sujani Singavarapu,2021-10-26,126,5,0,Oct
1452,Interrupts and Interrupt Cycle of 8086 by Ms. B Lakshmi Prasanna,2021-10-26,37,0,0,Oct
1453,Interpretation of Phase Diagrams by Dr. Ch Sandeep,2021-10-26,19,2,0,Oct
1454,Version Space by Dr. Chukka Santhaiah,2021-10-26,22,1,0,Oct
1455,Operation of 8086 Microprocessor in Maximum Mode with Timing Diagrams by Ms. B Lakshmi Prasanna,2021-10-26,32,3,0,Oct
1456,Transverse and Longitudinal Waves by Ms. S Sujani,2021-10-26,33,4,0,Oct
